order_id,customer_name,email,order_date,product,quantity,unit_price,total_price,status,country,payment_method,notes
ORD-93810,"Brown, Sarah",david.90@HPLUSSPORT.com,1/28/23,External SSD,7,227.36,323.52,Pending,US,Debit Card,
ORD-22156,EMILY moore,anna550@hplussport.COM,3/13/23,Mechanical Keyboard,2,433.9,732.84,SHIPPED,AUS,credit card,n/a
ORD-93227,MIKE  davis,david225@red30tech.com,8/5/23,Mouse Pad,4,200.8,283.56,Cancelled,Australia,debit,gift wrap
ORD-38746,anna JOHNSON,mike643@twotreesoliveoil.COM,25-06-2024,Wireless Headphones,0,$385 ,910.18,shipped,US,credit card,rush order
,,,,,,,,,,,
ORD-93748,EMILY williams,anna.20@hplussport.com,3/22/23,USB-C Cable,9,68.55,1057.71,cancelled,U.S.A,PayPal,rush order
ORD-62296,anna  WILSON,sarah66@hplussport.com,3/2/23,Wireless Headphones,6,259.5,268.96,cancelled,U.S.A,debit,
ORD-22363,Chris  Miller,john.690@red30tech.com,7/3/24,Phone Case,5,128.7,1712.65,completed,CA,credit card,
ORD-31798,"Smith, Chris",chris.272@hplussport.com,3/1/23,Wireless Headphones,6,29.82,1921.75,completed,United States,PayPal,NULL
ORD-25713,lisa moore,chris_674@kinetecoinc.com,18-11-2024,USB-C Cable,1,312.47,430.24,shipped,United Kingdom,PayPal,gift wrap
ORD-47353,bob moore,david307@RED30TECH.COM,10/16/23,Mouse Pad,0,255.18,850.03,shipped,United Kingdom,paypal,
ORD-67912,John JOHNSON,mike559@red30tech.com,10/2/23,Laptop Stand,-1,391.2,1500.21,Shipped,US,Credit Card,
ORD-53540,"JONES, Sarah",jane_392@kinetecoinc.com,8/22/23,Laptop Stand,-1,$143 ,1021.26,Refunded,CA,Credit Card,
ORD-44237,bob Smith,emily_747@red30tech.com,3/22/24,External SSD,-1,$218 ,1328.46,completed,UK,debit,gift wrap
ORD-48752,CHRIS williams,john312@HPLUSSPORT.com,8/7/23,Phone Case,0,$260 ,1904.24,Shipped,U.S.A,CREDIT CARD,
ORD-93748,"Miller, anna",chris507@red30tech.com,6/14/24,Laptop Stand,2,71,1192.93,PENDING,CA,Apple Pay,
ORD-72216,bob  WILSON,bob_451@kinetecoinc.com,3/24/23,Webcam,3,36.79,129.22,Pending,Australia,Credit Card,n/a
ORD-10772,"Miller, Chris",bob.447@red30tech.com,5/11/23,Webcam,10,46.5,524.01,SHIPPED,United Kingdom,debit,rush order
ORD-65255,John WILSON,emily230@red30tech.com,9/2/23,USB-C Cable,10,$235 ,1216.46,completed,US,credit card,n/a
ORD-93748,"Miller, Chris",sarah_105@red30tech.com,25-10-2024,UNKNOWN,7,57.2,873.8,Cancelled,UK,Apple Pay,N/A
,,,,,,,,,,,
ORD-87656,jane  JONES,anna.584@hplussport.com,30-12-2023,Smart Watch,5,$260.73 ,979.71,Shipped,AUS,Apple Pay,
ORD-39045,lisa  garcia,emily_436@TWOtreesoliveoil.com,17-07-2023,External SSD,3,112.11,1051.65,shipped,U.S.A,Debit Card,
ORD-80010,JOHN wilson,mike654@hplussport.com,7/8/23,Monitor,2,203.35,1623.23,shipped,U.S.A,debit,n/a
ORD-91057,ANNA davis,chris313@red30tech.com,6/27/23,Wireless Headphones,7,346.24,1415.38,PENDING,U.S.A,PayPal,NULL
ORD-39466,MIKE JOHNSON,bob610@twotreesoliveoil.com,5/27/24,USB-C Cable,10,445.26,187.2,Refunded,Australia,Credit Card,rush order
ORD-32962,bob  williams,anna_993@hplussport.com,14-06-2023,Monitor,5,407.7,508.54,completed,England,Credit Card,
ORD-17104,anna davis,david135@red30tech.COM,12/6/23,External SSD,7,116.23,239.34,COMPLETED,UK,paypal,NULL
ORD-71894,"Brown, Chris",bob_792@hplussport.com,8/16/24,Monitor,9,175.84,1866.04,Shipped,U.S.A,PayPal,NULL
ORD-67912,"Miller, Chris",john130@hplussport.com,2/24/24,Mechanical Keyboard,6,326.67,636.74,PENDING,USA,PayPal,rush order
,,,,,,,,,,,
ORD-21846,"davis, jane",john48@HPLUSSPORT.com,6/27/24,Phone Case,3,44.09,997.85,cancelled,Canada,Apple Pay,rush order
ORD-70981,MIKE  JOHNSON,lisa307@hplussport.com,4/20/23,Mouse Pad,0,496.4,1134.03,Refunded,USA,Apple Pay,rush order
ORD-40162,SARAH moore,mike644@red30tech.COM,5/15/23,Mouse Pad,7,$104 ,1827.41,COMPLETED,Canada,paypal,gift wrap
,,,,,,,,,,,
ORD-71385,SARAH miller,chris15@hplussport.COM,15-10-2024,Laptop Stand,8,$312 ,446.63,completed,Canada,paypal,NULL
